PROPELLANT_ID,PROPELLANT_NAME
1,AP
2,AZ-50
3,Al
4,Al E-107M
5,Al TP-G-3012
6,Al TP-H-3340
7,AlTP-H-3062M
8,Alcohol
9,Amine
10,Amine TG-02
11,Ammonia
12,Aniline
13,Aniline (ANFA)
14,BTTN
15,Butalane
16,CMDB
17,CTPB
18,CTPB 16.12
19,Diesel oil
20,E107M
21,E107M polyurethane
22,EP polyesther
23,Elec SPT
24,Epictete
25,Ethanol
26,GOX
27,Gasoline
28,H2O2
29,HDA
30,HEF-20
31,HTBP
32,HTPB
33,HTPB 1813
34,HTPB 1814
35,HTPB BP-201J
36,HTPB BP-204J
37,HTPB BP-205J
38,HTPB-2013
39,Hydrazine
40,Hydyne
41,IRFMA
42,IRFNA
43,Isolane
44,JPL 136
45,JPX (JP-4
46,Kero
47,Kero RG-1
48,Kero RJ-1
49,Kero RP-1
50,Kero Sintin
51,Kero T-1
52,Kerosene
53,Kerosene JP-4
54,Kerosene RP-1
55,Kerosene T-1
56,Kerosene TG-02
57,LH2
58,LOX
59,MAF-1
60,MMH
61,MMH-H2O
62,MON
63,MON-3
64,MON-I
65,Methane
66,Methane LNG
67,N2
68,N204
69,N2H4
70,N2O
71,N2O4
72,NA
73,NA AK-20
74,NA AK-20I
75,NA AK-27
76,NA AK-27I
77,NA27S
78,NEPE Polyethane
79,NG
80,NH3 (Ammonia)
81,PB
82,PBAA
83,PBAA TPH-3117
84,PBAN
85,PBHL
86,PEG
87,PS
88,Paraf
89,Plastolane
90,Plastolite
91,Polysulfide
92,Polysulphide
93,Polyurethane
94,Polyurethane DREV
95,Polyurethane-AP
96,Polyvinyl
97,RFNA
98,RFNA AK-20F
99,SP Polysulphide
100,Solid
101,Solid ANP2872JM-IV
102,Solid AP
103,Solid Arcite
104,Solid DB
105,Solid DB N-4
106,Solid DB T6
107,Solid GALCIT
108,Solid JPL-131
109,Solid JPL-132A
110,Solid PBAA
111,Solid PS
112,Solid RD2409
113,Solid RD2410
114,Solid RD2435
115,Solid T13E1
116,Solid T14E1
117,Solid T9-BK-6
118,Solid TP-H 1205C
119,Sorbitol
120,Triethylamine
121,Turpentine
122,UDMH
123,UDMH UH25
124,UDMH USO
125,UDMH)
126,UMDH
127,UP Polyurethane
128,USO
129,Vinyl Isobutyl ether
130,WFNA
131,WIFNA
132,Xe
133,Xylidiene
